"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"1600","110080062","1066","195675.55223803","554901.09737655","79","52202","N","20231118120007"
"1601","110080064","1068","194739.38018258","550979.61061202","24","52201","N","20231026120008"
"1602","110080065","1069","195410.50153128","550977.86842050","27","52201","N","20231016120009"
"1603","110080069","1071","191621.43385502","553912.60859752","72","52201","N","20231015120025"
"1604","110080070","1072","191688.19951123","557340.56347518","74","52201","N","20231030120051"
"1605","110080071","1073","195657.50506852","556219.02746892","62","52201","N","20231111120009"
"1606","110080074","1076","191778.82553867","553023.51253420","33","52201","N","20231111120009"
"1607","110080075","1077","191870.04459166","556239.06365007","76","52201","N","20231115120002"
"1608","110080076","1078","193482.62468971","554020.31010564","34","52201","N","20231101120003"
"1609","110080079","1079","190259.32964235","554232.41122422","78","52201","N","20231101120003"
"1610","110080080","1080","195493.70507277","553920.92422081","48","52201","N","20231111120009"
"1611","110080081","1081","193385.93407008","558282.16937554","80","52201","N","20231012120004"
"1612","110080084","1083","195819.32742814","554617.50525548","80","52203","N","20231103120009"
"1613","110080085","1084","195696.16870292","555434.57848778","63","52201","N","20231111120009"
"1614","110080087","1086","191816.93023484","556029.88425628","1","52205","N","20231030120051"
"1615","110080088","1087","192545.18655115","553240.82075923","43","52201","N","20231115120002"
"1616","110080090","1088","195641.59916824","555596.22979384","50","52201","N","20231111120009"
"1617","110080091","1089","192453.52706621","558222.40676510","2","52201","N","20231013120007"
"1618","110080096","1091","193979.15713684","554189.04116342","64","52201","N","20231110120028"
"1619","110080097","1092","194014.75740002","554097.81639753","65","52201","N","20231110120028"
"1620","110080098","1093","194213.78121532","555611.03238961","3","52205","N","20230609120002"
"1621","110080099","1094","191183.31243030","553689.95079264","4","52201","N","20231101120003"
"1622","110080100","1095","193042.00689332","557992.23833684","5","52201","N","20231012120004"
"1623","110080101","1096","193037.80838842","558199.23849989","6","52201","N","20231012120004"
"1624","110080774","1098","200558.49111434","552852.03587393","6-42","52201","N","20231105120007"
"1625","110080775","1099","200726.93903166","551251.75272017","000004","52201","N","20231027120009"
"1626","110080777","1100","200507.94081142","549954.78180099","3","52201","N","20231024120006"
"1627","110080778","1101","200539.69461360","550633.85448339","000001","52201","N","20231031120006"
"1628","110082049","1193","207561.17345288","555401.57226307","4-4","52201","N","20231118120007"
"1629","110082050","1194","207663.43554344","555558.81381859","4-5","52201","N","20231118120007"
"1630","110082052","1196","207840.22671387","555826.65049436","4-7","52201","N","20231118120007"
"1631","110082054","1198","206594.93860981","555314.60456304","4-1","52201","N","20231021120008"
"1632","110082056","1200","206916.35612378","558224.16016772","3-5","52201","N","20231115120002"
"1633","110082057","1201","206897.28884013","558163.46866940","3-6","52201","N","20231115120002"
"1634","110082058","1202","205147.23230690","559189.04546204","4-8","52201","N","20231109120021"
"1635","110082061","1204","206837.19905108","558157.62959024","3-1","52201","N","20231115120002"
"1636","110082062","1205","206826.81496007","558206.68918589","3-2","52201","N","20231115120002"
"1637","110082063","1206","206656.68331156","558078.99230678","3-3","52201","N","20231115120002"
"1638","110080662","943","197109.62795614","550916.54284682","000294","52201","N","20230620120008"
"1639","110080665","944","199675.63366955","552277.15741490","4-46","52205","N","20231027120009"
"1640","110080666","945","199767.07905835","552206.80343036","4-47","52205","N","20231027120009"
"1641","110080668","947","198742.96950459","550922.04943104","000298","52201","N","20231026120008"
"1642","110080669","948","199753.78707717","552256.19295083","4-45","52205","N","20231027120009"
"1643","110080670","949","196640.04573592","551004.69228413","000283","52201","N","20230620120008"
"1644","110080671","950","196924.34577417","550795.82492670","000284","52201","N","20230620120008"
"1645","110082515","951","207957.51791285","554504.21602462","3-15","52201","N","20231014120003"
"1646","110080672","952","199699.53477957","552184.26973819","4-44","52205","N","20231027120009"
"1647","110080673","953","198200.31953736","550768.40288685","000286","52201","N","20231101120003"
"1648","110080677","955","199115.10922254","552961.37447432","3-02","52201","N","20231102120007"
"1649","110080679","957","197018.19280155","552606.04138867","2-36","52201","N","20231119120004"
"1650","110080680","958","199191.98518828","552133.15531770","3-05","52201","N","20231023120005"
"1651","110080681","959","197025.71786324","553988.00599185","2-06","52201","N","20231108120004"
"1652","110080682","960","199160.22349085","552204.41352113","3-03","52201","N","20231023120005"
"1653","110080683","961","197046.66189937","553880.59900635","2-08","52201","N","20231108120004"
"1654","110080685","963","196919.26877737","556213.62279921","5-32","52201","N","20231102120007"
"1655","110080686","964","198805.16094999","551109.87043437","000242","52201","N","20231031120006"
"1656","110080687","965","196347.89975623","551555.31022181","115","52201","N","20231017120007"
"1657","110080688","966","196457.35310217","551781.27284487","134","52201","N","20231116120041"
"1658","110080689","967","198828.65736733","552377.96655620","1-11","52205","N","20231116120041"
"1659","110080690","968","198756.35946582","552415.27920179","1-12","52201","N","20231116120041"
"1660","110080692","970","199023.99283922","553771.80676633","3-32","52201","N","20231022120010"
"1661","110080693","971","197089.56355136","551502.86160412","88","52201","N","20231024120006"
"1662","110080695","973","198442.28863842","553715.14617814","1-14","52201","N","20231103120009"
"1663","110080696","974","200479.49974609","553341.80686667","4-50","52201","N","20231002120010"
"1664","110080697","975","200047.65641842","552490.10485247","4-51","52201","N","20231027120009"
"1665","110080698","976","196879.33822630","553687.77782456","2-13","52201","N","20231108120004"
"1666","110080701","979","196928.27023908","551849.95375696","137","52201","N","20231015120025"
"1667","110080703","981","197196.81768774","554181.57391453","2-03","52201","N","20231108120004"
"1668","110080704","982","197075.50404764","554035.04237096","2-04","52201","N","20231108120004"
"1669","110080706","983","196035.40671790","557115.16695137","5-08","52201","N","20231102120007"
"1670","110080707","984","197072.76579924","553705.28208916","2-11","52201","N","20231108120004"
"1671","110080708","985","198096.03605047","551380.04345433","000329","52201","N","20231031120006"
"1672","110080709","986","198634.00032757","552845.58658820","1-16","52201","N","20231116120041"
"1673","110080711","988","196300.39007107","551044.83358249","96","52201","N","20231110120028"
